Variable,Label,Description,Format Text,Category
reshard,Hard rock mining work: Wore mask or other equipment to protect lungs?,,".M=""Missing"" .N=""Not Applicable"" 0=""No"" 1=""Yes"" 2=""Sometimes""",Work history
respain,Painting work: Wore mask or other equipment to protect lungs?,,".M=""Missing"" .N=""Not Applicable"" 0=""No"" 1=""Yes"" 2=""Sometimes""",Work history
ressand,Sandblasting work: Wore mask or other equipment to protect lungs?,,".M=""Missing"" .N=""Not Applicable"" 0=""No"" 1=""Yes"" 2=""Sometimes""",Work history
resweld,Welding work: Wore mask or other equipment to protect lungs?,,".M=""Missing"" .N=""Not Applicable"" 0=""No"" 1=""Yes"" 2=""Sometimes""",Work history
wrkasbe,Asbestos: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkbaki,Baking: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkbutc,Butchering/meat packing: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkchem,Chemicals/plastics manufacturing: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkcoal,Coal mining: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkcott,Cotton/jute processing: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkfarm,Farming: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkfire,Fire fighting: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkflou,Flour/feed or grain milling: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkfoun,Foundry/steel milling: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkhard,Hard rock mining : Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkpain,Painting: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrksand,Sandblasting: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
wrkweld,Welding: Ever worked for 1 or more years?,,".M=""Missing"" 0=""No"" 1=""Yes""",Work history
yrsasbe,Asbestos work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsbaki,Baking work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsbutc,Butchering/meat packing work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrschem,Chemicals/plastics manufacturing work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrscoal,Coal mining work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrscott,Cotton/jute processing work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsfarm,Farming work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsfire,Fire fighting work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsflou,Flour/feed or grain milling work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsfoun,Foundry/steel milling work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrshard,Hard rock mining work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrspain,Painting work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrssand,Sandblasting work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
yrsweld,Welding work: Number of years?,,"Numeric .M=""Missing"" .N=""Not Applicable""",Work history
ageadas,Asthma (adult): Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
ageasbe,Asbestosis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agebron,Bronchiectasis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agechas,Asthma (childhood): Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agechro,Chronic bronchitis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agecopd,COPD: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agediab,Diabetes: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
ageemph,Emphysema: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agefibr,Fibrosis of the lung: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agehear,Heart disease or heart attack: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agehype,Hypertension: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agepneu,Pneumonia: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agesarc,Sarcoidosis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agesili,Silicosis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agestro,Stroke: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
agetube,Tuberculosis: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Disease history
diagadas,Asthma (adult): Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagasbe,Asbestosis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagbron,Bronchiectasis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagchas,Asthma (childhood): Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagchro,Chronic bronchitis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagcopd,COPD: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagdiab,Diabetes: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagemph,Emphysema: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagfibr,Fibrosis of the lung: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diaghear,Heart disease or heart attack: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diaghype,Hypertension: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagpneu,Pneumonia: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagsarc,Sarcoidosis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagsili,Silicosis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagstro,Stroke: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
diagtube,Tuberculosis: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Disease history
ageblad,Bladder Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agebrea,Breast Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agecerv,Cervical Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agecolo,Colorectal Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
ageesop,Esophageal Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agekidn,Kidney Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agelary,Larynx Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agelung,Lung Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agenasa,Nasal Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
ageoral,Oral Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agepanc,Pancreatic Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agephar,Pharynx Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agestom,Stomach Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agethyr,Thyroid Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
agetran,Transitional Cell Cancer: Age at diagnosis prior to trial,,"Numeric .M=""Missing"" .N=""Not Applicable""",Cancer history
cancblad,Bladder Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancbrea,Breast Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canccerv,Cervical Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canccolo,Colorectal Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancesop,Esophageal Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canckidn,Kidney Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canclary,Larynx Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canclung,Lung Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancnasa,Nasal Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancoral,Oral Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancpanc,Pancreatic Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancphar,Pharynx Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancstom,Stomach Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
cancthyr,Thyroid Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
canctran,Transitional Cell Cancer: Ever diagnosed prior to trial?,,".M=""Missing"" 0=""No"" 1=""Yes""",Cancer history
fambrother,Did brother(s) (including half-brothers) have lung cancer?,,".M=""Missing"" 0=""No"" 1=""Yes""",Lung cancer
famchild,Did child (biological) have lung cancer?,,".M=""Missing"" 0=""No"" 1=""Yes""",Lung cancer
famfather,Did father have lung cancer?,,".M=""Missing"" 0=""No"" 1=""Yes""",Lung cancer
fammother,Did mother have lung cancer?,,".M=""Missing"" 0=""No"" 1=""Yes""",Lung cancer
famsister,Did sister(s) (including half-sisters) have lung cancer?,,".M=""Missing"" 0=""No"" 1=""Yes""",Lung cancer
acrin_alc_curr,Do you presently drink alcoholic beverages?,"For ACRIN participants, was the participant a current drinker at time of entry.",".M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer"" 1=""No"" 2=""Yes""",Alcohol
acrin_alc_ever,Have you ever consumed alcoholic beverages?,"For ACRIN participants, did the participant ever drink alcohol.",".M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer"" 1=""No"" 2=""Yes""",Alcohol
acrin_drink24hr,"During the past 24 hours, how many drinks have you had?","For ACRIN participants who are current drinkers, how many drinks did the participant have in the last 24 hours at time of entry.","Numeric .M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer""",Alcohol
acrin_drinknum_curr,What is the usual number of drinks you have per week?,"For ACRIN participants who are current drinkers, the average number of drinks the participant had per week at time of entry.","Numeric .M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer""",Alcohol
acrin_drinknum_form,What was the usual number of drinks you had per week?,"For ACRIN participants who are former drinkers, the average number of drinks the participant had per week before they stopped drinking.","Numeric .M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer""",Alcohol
acrin_drinkyrs_curr,For how many years have you been drinking alcoholic beverages?,"For ACRIN participants who are current drinkers, how many years they have been drinking alcohol.","Numeric .M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer""",Alcohol
acrin_drinkyrs_form,For how many years did you drink alcoholic beverages?,"For ACRIN participants who are former drinkers, how many years they drank alcohol.","Numeric .M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer""",Alcohol
acrin_lastdrink,How long has it been since you last had an alcoholic drink?,"For ACRIN participants who are former drinkers, how long it has been since they last drunk alcohol.",".M=""Missing"" .N=""Not Applicable"" .R=""Participant Refused to Answer"" 1=""Less than 1 year"" 2=""1 to 2 years"" 3=""More than 2 years""",Alcohol
lss_alcohol_freq,How often do you have a drink containing alcohol?,,".M=""Missing"" .N=""Not Applicable"" 1=""Never"" 2=""Monthly or less often"" 3=""Two to four times a month"" 4=""Two to three times a week"" 5=""Four or more times a week""",Alcohol
lss_alcohol_num,Number of alcoholic drinks on typical day when drinking,,".M=""Missing"" .N=""Not Applicable"" 1=""1"" 2=""2-3"" 3=""4"" 4=""5-7"" 5=""8 or more""",Alcohol
confirmed_candxdays1-4,Days from randomization until diagnosis for first to fourth confirmed cancer,Lung and other cancers are included.,"Numeric .M=""Missing"" .N=""Not applicable""",Cancers of Any Site
confirmed_conforder1-4,Order of confirmation for confirmed cancers 1 to 4,"An integer from 1 to 4. If a person had multiple cancers diagnosed on the same day, then the values of confirmed_conforder[X] will be equal for those cancers. Lung and other cancers are included.","Numeric .N=""Not Applicable""",Cancers of Any Site
confirmed_icd_behav1-4,ICD-O-3 behvaior for first to fourth confirmed cancer,Lung and other cancers are included.,".M=""Missing"" .N=""Not applicable"" 0=""Benign"" 1=""Borderline malignancy"" 2=""In situ"" 3=""Malignant, primary site"" 6=""Malignant, metastatic site"" 9=""Malignant, unknown whether primary or metastatic""",Cancers of Any Site
confirmed_icd_grade1-4,ICD-O-3 grade for first to fourth confirmed cancer,Lung and other cancers are included.,".M=""Missing"" .N=""Not applicable"" 0=""Not Malignant"" 1=""Well differentiated; Grade I"" 2=""Moderately differentiated; Grade II"" 3=""Poorly differentiated; Grade III"" 4=""Undifferentiated; Grade IV"" 5=""T cell; T precursor"" 6=""B cell; pre B; B precursor"" 7=""Null cell; Non T, non B"" 8=""NK cell"" 9=""Unknown""",Cancers of Any Site
confirmed_icd_morph1-4,ICD-O-3 morphology for first to fourth confirmed cancer,Lung and other cancers are included.,"Numeric .M=""Missing"" .N=""Not applicable""",Cancers of Any Site
confirmed_icd_topog1-4,ICD-O-3 topography for first to fourth confirmed cancer,Lung and other cancers are included.,"Char, 5 "" ""=""Missing""",Cancers of Any Site
confirmed_seer1-4,SEER classification of first to fourth confirmed cancer,Lung and other cancers are included.,".N=""Not applicable"" 20010=""Lip"" 20020=""Tongue"" 20030=""Salivary Gland"" 20040=""Floor of Mouth"" 20050=""Gum and Other Mouth"" 20060=""Nasopharynx"" 20070=""Tonsil"" 20080=""Oropharynx"" 20090=""Hypopharynx"" 20100=""Other Oral Cavity and Pharynx"" 21010=""Esophagus"" 21020=""Stomach"" 21030=""Small Intestine"" 21041=""Cecum"" 21042=""Appendix"" 21043=""Ascending Colon"" 21044=""Hepatic Flexure"" 21045=""Transverse Colon"" 21046=""Splenic Flexure"" 21047=""Descending Colon"" 21048=""Sigmoid Colon"" 21049=""Large Intestine, NOS"" 21051=""Rectosigmoid Junction"" 21052=""Rectum"" 21060=""Anus, Anal Canal and Anorectum"" 21071=""Liver"" 21072=""Intrahepatic Bile Duct"" 21080=""Gallbladder"" 21090=""Other Biliary"" 21100=""Pancreas"" 21110=""Retroperitoneum"" 21120=""Peritoneum, Omentum and Mesentery"" 21130=""Other Digestive Organs"" 22010=""Nose, Nasal Cavity and Middle Ear"" 22020=""Larynx"" 22030=""Lung and Bronchus"" 22050=""Pleura"" 22060=""Trachea, Mediastinum and Other Respiratory Organs"" 23000=""Bones and Joints"" 24000=""Soft Tissue including Heart"" 25010=""Melanoma of the Skin"" [continued...]",Cancers of Any Site
[...continued] confirmed_seer1-4,,,"[...continued] 25020=""Other Non-Epithelial Skin"" 26000=""Breast"" 27010=""Cervix Uteri"" 27020=""Corpus Uteri"" 27030=""Uterus, NOS"" 27040=""Ovary"" 27050=""Vagina"" 27060=""Vulva"" 27070=""Other Female Genital Organs"" 28010=""Prostate"" 28020=""Testis"" 28030=""Penis"" 28040=""Other Male Genital Organs"" 29010=""Urinary Bladder"" 29020=""Kidney and Renal Pelvis"" 29030=""Ureter"" 29040=""Other Urinary Organs"" 30000=""Eye and Orbit"" 31010=""Brain"" 31040=""Cranial Nerves Other Nervous System"" 32010=""Thyroid"" 32020=""Other Endocrine including Thymus"" 33011=""Hodgkin - Nodal"" 33012=""Hodgkin - Extranodal"" 33041=""NHL - Nodal"" 33042=""NHL - Extranodal"" 34000=""Myeloma"" 35011=""Acute Lymphocytic Leukemia"" 35012=""Chronic Lymphocytic Leukemia"" 35013=""Other Lymphocytic Leukemia"" 35021=""Acute Myeloid Leukemia"" 35022=""Chronic Myeloid Leukemia"" 35023=""Other Myeloid/Monocytic Leukemia"" 35031=""Acute Monocytic Leukemia"" 35041=""Other Acute Leukemia"" 35043=""Aleukemic, subleukemic and NOS"" 36010=""Mesothelioma"" 36020=""Kaposi Sarcoma"" 37000=""Misc"" 99999=""Invalid""",Cancers of Any Site
confirmed_seercat1-4,SEER category of first to fourth confirmed cancer,Lung and other cancers are included.,".N=""Not Applicable"" 11=""Oral Cavity and Pharynx"" 12=""Digestive System"" 13=""Respiratory System"" 14=""Bones and Joints"" 15=""Soft Tissue including Heart"" 16=""Skin excluding Basal and Squamous"" 17=""Breast"" 18=""Female Genital System"" 19=""Male Genital System"" 20=""Urinary System"" 21=""Eye and Orbit"" 22=""Brain and Other Nervous System"" 23=""Endocrine System"" 24=""Lymphoma"" 25=""Myeloma"" 26=""Leukemia"" 27=""Mesothelioma"" 28=""Kaposi Sarcoma"" 29=""Miscellaneous"" 99=""Bad data""",Cancers of Any Site
num_confirmed,Number of confirmed cancers,Lung and other cancers are included.,Numeric,Cancers of Any Site
last_progfree_days,Days from randomization to last date known free of lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
prog_days_1st,Days from randomization to first lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
prog_days_2nd,Days from randomization to second lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
prog_days_3rd,Days from randomization to third lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
prog_days_4th,Days from randomization to fourth lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
prog_days_5th,Days from randomization to fifth lung cancer progression,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progressed_ever,Ever had lung cancer progression,,".F="" No Form "" .N="" Not Applicable "" 0="" No Progression "" 1="" Had Progression "" 9="" Unknown if Had Progression """,Progression
progression_num,Number of times lung cancer progressed,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_adrenal_1st,First lung cancer progression included progression to adrenal glands,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_adrenal_days,Days from randomization to first lung cancer progression to adrenal,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_adrenal_ever,Lung cancer ever progressed to adrenal glands,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_adrenal_num,Number of times lung cancer progressed to adrenal,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_bone_1st,First lung cancer progression included progression to bone,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_bone_days,Days from randomization to first lung cancer progression to bone,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_bone_ever,Lung cancer ever progressed to bone,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_bone_num,Number of times lung cancer progressed to bone,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_brain_1st,First lung cancer progression included progression to brain,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_brain_days,Days from randomization to first lung cancer progression to brain,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_brain_ever,Lung cancer ever progressed to pleura,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_brain_num,Number of times lung cancer progressed to brain,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_liver_1st,First lung cancer progression included progression to liver,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_liver_days,Days from randomization to first lung cancer progression to liver,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_liver_ever,Lung cancer ever progressed to liver,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_liver_num,Number of times lung cancer progressed to liver,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n1_1st,First lung cancer progression included progression to N1 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n1_days,Days from randomization to first lung cancer progression to N1 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n1_ever,Lung cancer ever progressed to N1 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n1_num,Number of times lung cancer progressed to N1 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n2_1st,First lung cancer progression included progression to N2 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n2_days,Days from randomization to first lung cancer progression to N2 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n2_ever,Lung cancer ever progressed to N2 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n2_num,Number of times lung cancer progressed to N2 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n3_1st,First lung cancer progression included progression to N3 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n3_days,Days from randomization to first lung cancer progression to N3 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_lymph_n3_ever,Lung cancer ever progressed to N3 lymph nodes,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_lymph_n3_num,Number of times lung cancer progressed to N3 lymph nodes,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_mediastinum_1st,First lung cancer progression included progression to mediastinum,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_mediastinum_days,Days from randomization to first lung cancer progression to mediastinum,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_mediastinum_ever,Lung cancer ever progressed to mediastinum,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_mediastinum_num,Number of times lung cancer progressed to mediastinum,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_orig_lung_1st,First lung cancer progression included progression at original lung site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_orig_lung_days,Days from randomization to first lung cancer progression at original lung site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_orig_lung_ever,Lung cancer ever progressed at original lung site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_orig_lung_num,Number of times lung cancer progressed at original lung site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_other_1st,First lung cancer progression included progression to other site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_other_days,Days from randomization to first lung cancer progression to other site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_other_ever,Lung cancer ever progressed to other site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_other_lung_1st,First lung cancer progression included progression to other lung site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_other_lung_days,Days from randomization to first lung cancer progression to other lung site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_other_lung_ever,Lung cancer ever progressed to other lung site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_other_lung_num,Number of times lung cancer progressed to other lung site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_other_num,Number of times lung cancer progressed to other site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_pleura_1st,First lung cancer progression included progression to pleura,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_pleura_days,Days from randomization to first lung cancer progression to pleura,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_pleura_ever,Lung cancer ever progressed to pleura,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_pleura_num,Number of times lung cancer progressed to pleura,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_skin_1st,First lung cancer progression included progression to skin,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_skin_days,Days from randomization to first lung cancer progression to skin,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_skin_ever,Lung cancer ever progressed to skin,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_skin_num,Number of times lung cancer progressed to skin,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_unk_1st,First lung cancer progression included progression to unknown site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_unk_days,Days from randomization to first lung cancer progression to unknown site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression
progsite_unk_ever,Lung cancer ever progressed to unknown site,,".F="" No Form "" .N="" Not Applicable "" 0="" No "" 1="" Yes """,Progression
progsite_unk_num,Number of times lung cancer progressed to unknown site,,"Numeric .F="" No Form "" .N="" Not Applicable """,Progression